delivery_partner_id,total_deliveries,on_time_deliveries,avg_delay_mins,total_revenue,on_time_pct,performance_rating
43,1,0,5.0,2374.92,0.0,Poor
50,1,1,-5.0,3724.44,100.0,Excellent
66,1,0,5.0,927.52,0.0,Poor
70,1,0,5.0,5428.69,0.0,Poor
87,1,1,-5.0,941.19,100.0,Excellent
102,1,0,8.0,845.71,0.0,Poor
121,1,1,-3.0,1317.62,100.0,Excellent
157,1,1,0.0,1247.39,100.0,Excellent
158,1,0,4.0,2790.23,0.0,Poor
166,1,0,28.0,903.52,0.0,Poor
184,1,0,3.0,3677.66,0.0,Poor
187,1,0,8.0,1440.87,0.0,Poor
188,1,1,-5.0,4912.61,100.0,Excellent
196,1,1,0.0,2217.03,100.0,Excellent
199,1,1,-5.0,1787.9,100.0,Excellent
213,1,1,-1.0,1905.44,100.0,Excellent
221,1,0,1.0,3405.27,0.0,Poor
235,1,0,1.0,833.93,0.0,Poor
246,1,0,30.0,2962.71,0.0,Poor
249,1,0,2.0,2062.98,0.0,Poor
267,1,0,2.0,3461.4,0.0,Poor
283,1,0,2.0,4452.81,0.0,Poor
289,1,0,11.0,4292.45,0.0,Poor
307,1,0,15.0,1135.56,0.0,Poor
319,1,1,0.0,1720.18,100.0,Excellent
321,1,0,3.0,689.16,0.0,Poor
343,1,1,-3.0,845.85,100.0,Excellent
388,1,0,10.0,3340.2,0.0,Poor
404,1,1,0.0,2556.55,100.0,Excellent
406,1,0,1.0,4476.55,0.0,Poor
432,1,1,-5.0,3973.73,100.0,Excellent
460,1,1,-5.0,2514.37,100.0,Excellent
462,1,1,-2.0,1955.04,100.0,Excellent
464,1,0,5.0,1846.87,0.0,Poor
509,1,0,4.0,2951.41,0.0,Poor
524,1,0,9.0,2550.73,0.0,Poor
525,1,0,10.0,1177.01,0.0,Poor
554,1,1,-1.0,3161.43,100.0,Excellent
608,1,0,7.0,1878.33,0.0,Poor
611,1,0,11.0,2774.06,0.0,Poor
645,1,0,2.0,2265.63,0.0,Poor
651,1,1,-1.0,1697.37,100.0,Excellent
674,1,1,-4.0,2702.57,100.0,Excellent
676,1,1,-1.0,826.21,100.0,Excellent
678,1,0,6.0,3194.62,0.0,Poor
706,1,1,-5.0,643.87,100.0,Excellent
722,1,0,25.0,405.71,0.0,Poor
767,1,1,-5.0,2440.93,100.0,Excellent
769,1,0,3.0,989.88,0.0,Poor
821,1,0,3.0,556.76,0.0,Poor
870,1,0,2.0,3611.55,0.0,Poor
902,1,0,8.0,1205.86,0.0,Poor
918,1,0,5.0,951.43,0.0,Poor
951,1,1,-4.0,976.19,100.0,Excellent
957,1,1,-1.0,1216.48,100.0,Excellent
970,1,1,-5.0,3782.86,100.0,Excellent
1015,1,1,-4.0,1688.35,100.0,Excellent
1025,1,0,22.0,3946.2,0.0,Poor
1050,1,1,-5.0,2010.17,100.0,Excellent
1086,1,0,4.0,267.29,0.0,Poor
1108,1,1,-5.0,1132.98,100.0,Excellent
1128,1,0,2.0,162.67,0.0,Poor
1156,1,1,-1.0,3179.87,100.0,Excellent
1185,1,0,9.0,4916.33,0.0,Poor
1261,1,0,12.0,274.25,0.0,Poor
1304,1,1,-3.0,83.18,100.0,Excellent
1328,1,0,21.0,3803.34,0.0,Poor
1329,1,0,4.0,3945.66,0.0,Poor
1348,1,0,1.0,729.04,0.0,Poor
1354,1,0,2.0,2175.43,0.0,Poor
1360,1,0,1.0,80.25,0.0,Poor
1392,1,0,4.0,3587.77,0.0,Poor
1399,1,0,3.0,1887.26,0.0,Poor
1440,1,0,5.0,422.14,0.0,Poor
1441,1,0,3.0,2923.65,0.0,Poor
1443,1,0,7.0,1116.88,0.0,Poor
1455,1,1,0.0,3338.89,100.0,Excellent
1498,1,0,5.0,3447.86,0.0,Poor
1554,1,1,-5.0,1849.28,100.0,Excellent
1608,1,0,8.0,2795.12,0.0,Poor
1610,1,0,18.0,1042.3,0.0,Poor
1616,1,1,-1.0,1906.85,100.0,Excellent
1662,1,0,2.0,3112.63,0.0,Poor
1663,1,1,0.0,4093.07,100.0,Excellent
1679,1,0,20.0,3350.53,0.0,Poor
1722,1,0,20.0,2950.6,0.0,Poor
1739,1,1,-5.0,3503.52,100.0,Excellent
1749,1,1,0.0,2586.92,100.0,Excellent
1750,1,0,8.0,2948.85,0.0,Poor
1761,1,1,-1.0,3818.33,100.0,Excellent
1771,1,1,-5.0,3014.85,100.0,Excellent
1773,1,0,15.0,4866.15,0.0,Poor
1807,1,0,4.0,1855.64,0.0,Poor
1857,1,0,25.0,1641.37,0.0,Poor
1874,1,0,3.0,2948.82,0.0,Poor
1897,1,0,13.0,2102.5,0.0,Poor
1898,1,1,-5.0,5027.5,100.0,Excellent
1899,1,0,9.0,3382.93,0.0,Poor
1908,1,0,14.0,3051.19,0.0,Poor
1921,1,0,13.0,1197.51,0.0,Poor
1965,1,0,14.0,716.35,0.0,Poor
2000,1,0,4.0,3288.74,0.0,Poor
2018,1,0,1.0,3048.86,0.0,Poor
2103,1,0,1.0,1205.58,0.0,Poor
2107,1,0,3.0,2272.86,0.0,Poor
2121,1,0,4.0,1361.06,0.0,Poor
2135,1,0,21.0,2909.86,0.0,Poor
2235,1,1,-3.0,3973.9,100.0,Excellent
2241,1,0,1.0,505.31,0.0,Poor
2255,1,1,-5.0,4979.18,100.0,Excellent
2265,1,0,5.0,4549.72,0.0,Poor
2273,1,0,4.0,127.16,0.0,Poor
2274,1,0,4.0,1746.24,0.0,Poor
2306,1,1,-4.0,3745.35,100.0,Excellent
2311,1,0,16.0,2501.14,0.0,Poor
2314,1,0,15.0,329.79,0.0,Poor
2332,1,1,-5.0,1112.82,100.0,Excellent
2353,1,1,-5.0,1590.17,100.0,Excellent
2365,1,1,-2.0,2973.06,100.0,Excellent
2375,1,0,22.0,171.2,0.0,Poor
2395,1,0,9.0,2030.88,0.0,Poor
2439,1,1,-3.0,168.09,100.0,Excellent
2460,1,1,-1.0,22.04,100.0,Excellent
2466,1,0,11.0,2657.2,0.0,Poor
2481,1,1,-4.0,2045.25,100.0,Excellent
2513,1,1,0.0,1835.86,100.0,Excellent
2549,1,0,15.0,903.53,0.0,Poor
2554,1,0,14.0,3393.32,0.0,Poor
2555,1,0,10.0,367.08,0.0,Poor
2575,1,1,0.0,48.55,100.0,Excellent
2578,1,0,8.0,229.38,0.0,Poor
2580,1,1,-2.0,1225.86,100.0,Excellent
2591,1,1,0.0,1277.83,100.0,Excellent
2614,1,0,5.0,2392.8,0.0,Poor
2633,1,0,2.0,616.45,0.0,Poor
2692,1,1,-5.0,4296.62,100.0,Excellent
2704,1,1,-2.0,3414.46,100.0,Excellent
2730,1,1,-1.0,1748.85,100.0,Excellent
2758,1,0,13.0,3474.61,0.0,Poor
2786,1,0,2.0,2422.3,0.0,Poor
2804,1,1,-1.0,2849.48,100.0,Excellent
2837,1,1,-2.0,832.37,100.0,Excellent
2924,1,0,9.0,83.18,0.0,Poor
2944,1,0,4.0,1183.85,0.0,Poor
2987,1,0,15.0,3159.25,0.0,Poor
2990,1,1,-4.0,1041.18,100.0,Excellent
3022,1,0,13.0,3373.17,0.0,Poor
3028,1,1,0.0,3830.61,100.0,Excellent
3056,1,1,-3.0,957.5,100.0,Excellent
3089,1,1,-1.0,3939.8,100.0,Excellent
3175,1,1,-3.0,1413.39,100.0,Excellent
3179,1,0,1.0,4080.28,0.0,Poor
3187,1,1,-3.0,2341.94,100.0,Excellent
3235,1,0,2.0,1306.86,0.0,Poor
3254,1,0,5.0,3399.47,0.0,Poor
3274,1,0,2.0,2264.11,0.0,Poor
3302,1,1,-5.0,2802.91,100.0,Excellent
3304,1,1,0.0,435.48,100.0,Excellent
3338,1,0,7.0,1636.36,0.0,Poor
3350,1,0,5.0,1022.08,0.0,Poor
3368,1,0,1.0,2241.49,0.0,Poor
3395,1,1,-3.0,2748.16,100.0,Excellent
3429,1,1,0.0,4566.21,100.0,Excellent
3481,1,0,4.0,2008.84,0.0,Poor
3496,1,0,9.0,217.4,0.0,Poor
3515,1,1,-5.0,2980.62,100.0,Excellent
3517,1,0,3.0,2307.65,0.0,Poor
3518,1,0,15.0,4352.3,0.0,Poor
3529,1,0,3.0,828.44,0.0,Poor
3557,1,0,20.0,102.44,0.0,Poor
3584,1,0,2.0,2685.53,0.0,Poor
3587,1,0,15.0,2270.85,0.0,Poor
3594,1,1,0.0,2875.06,100.0,Excellent
3611,1,0,8.0,4467.79,0.0,Poor
3617,1,0,14.0,3485.65,0.0,Poor
3627,1,0,13.0,2301.59,0.0,Poor
3643,1,0,6.0,972.69,0.0,Poor
3646,1,0,1.0,2174.62,0.0,Poor
3648,1,0,5.0,887.48,0.0,Poor
3684,1,1,0.0,2618.56,100.0,Excellent
3704,1,0,12.0,1607.15,0.0,Poor
3729,1,0,5.0,624.16,0.0,Poor
3770,1,0,5.0,3752.62,0.0,Poor
3774,1,0,5.0,1824.8,0.0,Poor
3839,1,0,1.0,530.85,0.0,Poor
3855,1,0,3.0,1446.53,0.0,Poor
3879,1,1,-5.0,1776.0,100.0,Excellent
3949,1,1,0.0,2178.18,100.0,Excellent
3957,1,0,2.0,3795.46,0.0,Poor
3995,1,0,24.0,1738.07,0.0,Poor
3996,1,0,4.0,3566.54,0.0,Poor
4000,1,0,21.0,2573.97,0.0,Poor
4033,1,0,3.0,577.13,0.0,Poor
4038,1,0,7.0,2799.46,0.0,Poor
4039,1,0,25.0,2081.47,0.0,Poor
4045,1,0,4.0,2066.5,0.0,Poor
